block_number,background_color_index,wave_color_index,is_glitch,has_echo,echo_count
346984,#ADFF2F,#9900FF,false,true,3
346985,#FFA500,#00CCFF,false,true,4
346986,#008080,#FF0066,false,true,5
346987,#00FFFF,#00CCFF,false,true,4
346988,#008080,#FF0066,false,true,5
346989,#9370DB,#FF0066,false,true,5
346990,#555555,#FF0066,false,true,6
346991,#008080,#FF0066,true,true,6
346992,#edebeb,#FF0066,false,true,6
346993,#edebeb,#FF0066,false,true,6
346994,#ADFF2F,#FF0066,false,true,6
346995,#ADFF2F,#00CCFF,false,true,4
346996,#9370DB,#9900FF,false,true,3
346997,#008080,#FF0066,false,true,6
346998,#edebeb,#FF0066,true,true,6
346999,#FFA500,#FF0066,false,true,5
347000,#CC0033,#FF0066,false,true,6
347001,#555555,#FF0066,false,true,6
347002,#00FFFF,#00CCFF,false,true,5
347003,#edebeb,#FF0066,false,true,5
347004,#edebeb,#FF0066,false,true,5
347005,#008080,#00CCFF,false,true,5
347006,#FFA500,#FF0066,false,true,5
347007,#edebeb,#FF0066,false,true,5
347008,#edebeb,#FF0066,false,true,6
347009,#9370DB,#00CCFF,false,true,3
347010,#FFA500,#FF0066,false,true,5
347011,#ADFF2F,#FF0066,false,true,6
347012,#555555,#00CCFF,false,true,4
347013,#FFA500,#FF0066,false,true,6
347014,#FFA500,#FF0066,false,true,6
347015,#edebeb,#FF0066,false,true,6
347016,#9370DB,#FF0066,false,true,6
347017,#00FFFF,#00CCFF,false,true,4
347018,#008080,#FF0066,false,true,5
347019,#008080,#FF0066,false,true,5
347020,#00FFFF,#FF0066,false,true,6
347021,#edebeb,#9900FF,false,true,
347022,#edebeb,#00CCFF,false,true,3
347023,#008080,#9900FF,false,true,3
347024,#00FFFF,#00CCFF,false,true,4
347025,#edebeb,#FF0066,true,true,6
347026,#CC0033,#9900FF,false,true,3
347027,#ADFF2F,#9900FF,false,true,3
347028,#FFA500,#FF0066,false,true,5
347029,#00FFFF,#FF0066,false,true,5
347030,#ADFF2F,#00CCFF,false,true,4
347031,#CC0033,#00CCFF,false,true,4
347032,#edebeb,#FF0066,false,true,6
347033,#9370DB,#9900FF,false,true,
347034,#ADFF2F,#FF0066,false,true,5
347035,#555555,#FF0066,false,true,6
347036,#00FFFF,#FF6600,false,true,
347037,#FFA500,#00CCFF,false,true,5
347038,#edebeb,#00CCFF,false,true,4
347039,#FFA500,#00CCFF,false,true,5
347040,#CC0033,#FF0066,true,true,6
347041,#ADFF2F,#FF0066,false,true,4
347042,#00FFFF,#9900FF,false,true,4
347043,#CC0033,#FF0066,false,true,6
347044,#00FFFF,#FF0066,false,true,6
347045,#9370DB,#FF0066,false,true,5
347046,#008080,#FF0066,false,true,5
347047,#9370DB,#FF0066,false,true,6
347048,#008080,#FF0066,false,true,6
347049,#9370DB,#FF0066,true,true,6
347050,#ADFF2F,#FF0066,false,true,6
347051,#555555,#FF0066,false,true,5
347052,#ADFF2F,#00CCFF,false,true,6
347053,#CC0033,#00CCFF,false,true,4
347054,#ADFF2F,#00CCFF,false,true,4
347055,#ADFF2F,#FF0066,false,true,6
347056,#555555,#FF0066,false,true,5
347057,#00FFFF,#FF0066,false,true,5
347058,#ADFF2F,#FF0066,false,true,6
347059,#00FFFF,#FF0066,false,true,5
347060,#edebeb,#FF0066,false,true,5
347061,#edebeb,#FF0066,false,true,5
347062,#555555,#FF0066,false,true,6
347063,#9370DB,#FF0066,false,true,5
347064,#FFA500,#FF0066,false,true,5
347065,#00FFFF,#00CCFF,false,true,4
347066,#008080,#00CCFF,false,true,4
347067,#00FFFF,#FF0066,false,true,5
347068,#edebeb,#FF0066,false,true,5
347069,#CC0033,#FF0066,false,true,6
347070,#FFA500,#00CCFF,false,true,4
347071,#008080,#00CCFF,false,true,4
347072,#FFA500,#FF0066,false,true,5
347073,#555555,#FF0066,false,true,6
347074,#edebeb,#FF0066,true,true,6
347075,#555555,#00CCFF,false,true,4
347076,#edebeb,#FF0066,false,true,5
347077,#edebeb,#FF0066,true,true,6
347078,#FFA500,#FF0066,true,true,6
347079,#00FFFF,#FF0066,false,true,6
347080,#FFA500,#FF0066,false,true,6
347081,#FFA500,#FF0066,false,true,6
347082,#FFA500,#FF0066,false,true,6
347083,#555555,#00CCFF,false,true,4
347084,#008080,#00CCFF,false,true,4
347085,#ADFF2F,#FF0066,false,true,6
347086,#edebeb,#00CCFF,false,true,4
347087,#edebeb,#FF0066,false,true,6
347088,#edebeb,#FF0066,true,true,6
347089,#9370DB,#FF0066,false,true,5
347090,#edebeb,#FF0066,false,true,6
347091,#ADFF2F,#FF0066,false,true,5
347092,#9370DB,#00CCFF,false,true,4
347093,#008080,#FF0066,true,true,6
347094,#FFA500,#FF0066,false,true,6
347095,#ADFF2F,#FF0066,true,true,6
347096,#555555,#FF0066,false,true,6
347097,#ADFF2F,#FF0066,false,true,5
347098,#008080,#00CCFF,false,true,4
347099,#FFA500,#FF0066,false,true,6
347100,#CC0033,#FF0066,false,true,6
347101,#edebeb,#FF0066,false,true,6
347102,#555555,#FF0066,false,true,6
347103,#00FFFF,#FF0066,false,true,6
347104,#008080,#9900FF,false,true,3
347105,#FFA500,#9900FF,false,true,3
347106,#ADFF2F,#FF0066,false,true,5
347107,#008080,#FF0066,false,true,6
347108,#00FFFF,#FF0066,false,true,5
347109,#008080,#FF0066,false,true,6
347110,#edebeb,#FF0066,false,true,6
347111,#00FFFF,#00CCFF,false,true,4
347112,#FFA500,#FF0066,false,true,5
347113,#edebeb,#FF0066,false,true,6
347114,#edebeb,#FF0066,false,true,5
347115,#555555,#FF0066,false,true,5
347116,#00FFFF,#FF0066,false,true,6
347117,#FFA500,#FF0066,false,true,5
347118,#00FFFF,#FF0066,false,true,5
347119,#CC0033,#FF0066,false,true,6
347120,#FFA500,#FF0066,false,true,6
347121,#008080,#FF0066,false,true,6
347122,#CC0033,#FF0066,false,true,5
347123,#9370DB,#FF0066,true,true,6
347124,#ADFF2F,#FF0066,false,true,5
347125,#CC0033,#FF0066,true,true,6
347126,#9370DB,#FF0066,false,true,5
347127,#FFA500,#FF0066,false,true,5
347128,#ADFF2F,#00CCFF,false,true,4
347129,#00FFFF,#FF0066,false,true,6
347130,#edebeb,#FF0066,true,true,6
347131,#00FFFF,#00CCFF,false,true,4
347132,#edebeb,#9900FF,false,true,4
347133,#00FFFF,#FF0066,false,true,6
347134,#CC0033,#FF0066,false,true,6
347135,#9370DB,#FF0066,false,true,6
347136,#00FFFF,#FF0066,true,true,6
347137,#9370DB,#FF0066,true,true,6
347138,#555555,#FF0066,false,true,6
347139,#ADFF2F,#FF0066,false,true,6
347140,#edebeb,#00CCFF,false,true,4
347141,#ADFF2F,#FF0066,false,true,5
347142,#00FFFF,#9900FF,false,true,
347143,#CC0033,#FF0066,false,true,5
347144,#CC0033,#FF0066,false,true,6
347145,#008080,#9900FF,false,true,3
347146,#008080,#00CCFF,false,true,5
347147,#FFA500,#FF0066,false,true,6
347148,#008080,#FF0066,true,true,6
347149,#edebeb,#00CCFF,false,true,4
347150,#9370DB,#00CCFF,false,true,4
347151,#00FFFF,#FF0066,false,true,6
347152,#9370DB,#00CCFF,false,true,5
347153,#ADFF2F,#FF0066,false,true,6
347154,#CC0033,#00CCFF,false,true,5
347155,#CC0033,#9900FF,false,true,3
347156,#CC0033,#FF0066,false,true,5
347157,#edebeb,#FF0066,false,true,5
347158,#CC0033,#00CCFF,false,true,4
347159,#555555,#FF0066,false,true,6
347160,#9370DB,#FF0066,false,true,6
347161,#008080,#00CCFF,false,true,4
347162,#ADFF2F,#9900FF,false,true,3
347163,#00FFFF,#FF0066,true,true,6
347164,#555555,#FF0066,true,true,6
347165,#CC0033,#FF0066,true,true,6
347166,#9370DB,#FF0066,false,true,6
347167,#FFA500,#9900FF,false,true,4
347168,#CC0033,#00CCFF,false,true,4
347169,#008080,#00CCFF,false,true,4
347170,#9370DB,#FF0066,false,true,5
347171,#FFA500,#FF0066,false,true,5
